"","SampleID","sDrug","Conc","Mean"
"526","ind6b","EPI",0.01,1.07066315850261
"527","ind6b","EPI",0.05,0.975862167408931
"528","ind6b","EPI",0.1,1.04600160048295
"529","ind6b","EPI",0.5,0.574589553700874
"530","ind6b","EPI",1,0.381936618809624
"531","ind6b","EPI",5,0.19877012948153
"532","ind6b","EPI",10,0.282404416811337
"533","ind6b","EPI",50,0.00536686501620261
"534","ind6b","DNR",0.01,0.906263083430783
"535","ind6b","DNR",0.05,0.7795174574626
"536","ind6b","DNR",0.1,0.738435106733963
"537","ind6b","DNR",0.5,0.633486148661887
"538","ind6b","DNR",1,0.49129884988258
"539","ind6b","DNR",5,0.0245770088678527
"540","ind6b","DNR",10,0.00295227905850055
"541","ind6b","DNR",50,0
"542","ind6b","MTX",0.01,0.802182135793379
"543","ind6b","MTX",0.05,1.08453058981386
"544","ind6b","MTX",0.1,0.751000301845469
"545","ind6b","MTX",0.5,0.851706437835509
"546","ind6b","MTX",1,0.538439040335831
"547","ind6b","MTX",5,0.011652657635602
"548","ind6b","MTX",10,0.00536961524486253
"549","ind6b","MTX",50,0.000691774616156918
"550","ind6b","TRZ",0.01,0.791792989446634
"551","ind6b","TRZ",0.05,0.992423918008451
"552","ind6b","TRZ",0.1,0.879847954119487
"553","ind6b","TRZ",0.5,0.965207084361897
"554","ind6b","TRZ",1,1.12977961100741
"555","ind6b","TRZ",5,0.90656962352429
"556","ind6b","TRZ",10,0.969600777854039
"557","ind6b","VEH",0.01,0.993319329550868
"558","ind6b","VEH",0.05,0.930530575539569
"559","ind6b","VEH",0.1,0.93675986438013
"560","ind6b","VEH",0.5,1.00097370792681
"561","ind6b","VEH",1,1.40672392880799
"562","ind6b","VEH",5,1.0174670855775
"563","ind6b","VEH",10,0.98206259168046
"564","ind6b","VEH",50,0.878447649598811
