"sigVMT24.ENTREZID","sigVMT24.SYMBOL","sigVMT24.logFC","sigVMT24.AveExpr","sigVMT24.t","sigVMT24.P.Value","sigVMT24.adj.P.Val","sigVMT24.B"
"875","CBS",0.672898854127753,4.56296526295631,3.5393383125487,0.00075650184403067,0.0148806871107932,-1.28325704355406
"441150","C6orf226",-0.894002256412088,2.39422292477831,-3.53791131238708,0.000759919952690995,0.0149119521527061,-0.986359520497547
"26249","KLHL3",1.03251479783624,3.86134691669418,3.53779097660064,0.000760208864359769,0.0149119521527061,-1.23683366966903
"51382","ATP6V1D",0.464250043570294,7.37916799205599,3.53448072632385,0.000768197428832327,0.0150278484684172,-1.41147092483227
"79738","BBS10",-0.54132447769966,5.04517354875326,-3.5344585268344,0.000768251270751234,0.0150278484684172,-1.38993582187714
"127281","PRXL2B",0.581146206979411,4.15437023166956,3.53367566725868,0.000770152287523114,0.0150441398300631,-1.30070677063642
"54825","CDHR2",-1.39990512277417,-0.0745964820514633,-3.53294893103803,0.000771921020077692,0.0150578056049504,-0.757168342258188
"10494","STK25",-0.301124126013537,6.95535126159915,-3.53211988645381,0.000773943464080158,0.0150763758618326,-1.42370227724315
"387921","NHLRC3",0.56823903240144,3.91670762282258,3.53133700473038,0.000775857915725317,0.0150793939698052,-1.28838963654164
"307","ANXA4",-0.855197006588724,5.3480591414863,-3.53118108013581,0.000776239749226693,0.0150793939698052,-1.38972178433722
"388499","LYPLA2P2",-0.728932344828758,2.03558378332775,-3.52605993774137,0.000788880273430862,0.0152883335501728,-0.969607534163097
"25786","DGCR11",0.710235266474392,1.84339390875022,3.52594495296732,0.000789166322846892,0.0152883335501728,-0.944714048569079
"6840","SVIL",0.728062498045102,9.14292409144567,3.52427912532689,0.000793321498376468,0.0153477197570524,-1.32348546330139
"2762","GMDS",0.817462732966126,2.62363475775538,3.52011753916952,0.000803792999036593,0.0155264131558322,-1.03167158793392
"1841","DTYMK",0.712708643464735,4.08833485489958,3.5192862864911,0.000805900291596242,0.0155264131558322,-1.3120066911118
"93323","HAUS8",1.46992006991575,2.33534133293291,3.51892440900929,0.000806819318653936,0.0155264131558322,-1.00817683804294
"64425","POLR1E",0.626971139621075,3.00682053491598,3.51886598132888,0.000806967795375544,0.0155264131558322,-1.13782440013592
"388588","SMIM1",1.0995135440933,1.84992701959289,3.51740469669854,0.000810689671277133,0.0155767439703508,-0.998361521042011
"81031","SLC2A10",0.765069618239433,2.8643750836437,3.5157115753409,0.000815022420357977,0.0156356438852489,-1.17212833116796
"286077","FAM83H",-0.896268555410995,5.4069293180294,-3.51534030368068,0.00081597545126796,0.0156356438852489,-1.44696364421695
"203068","TUBB",0.907238192892601,9.23440469458132,3.5122947232763,0.000823833309402331,0.0157479123753563,-1.31643988048298
"10675","CSPG5",1.46321018150349,3.74940792654631,3.51220315309121,0.000824070677409653,0.0157479123753563,-1.25867039456951
"345557","PLCXD3",1.03431849056714,6.58830545470054,3.50324660104224,0.000847604258336638,0.0161756888542185,-1.51748158148445
"57050","UTP3",-0.375465288586171,6.09232866213997,-3.49483768453485,0.000870278433961095,0.0165859289092125,-1.54246116752291
"6827","SUPT4H1",-0.352805773193021,5.65978144716496,-3.49396770855297,0.000872656858869258,0.016605715153238,-1.53441824963197
"79857","FLJ13224",-1.81734039027933,-0.120134169500988,-3.49359608002764,0.000873674732217366,0.016605715153238,-0.853693637516447
"148808","MFSD4A",-1.50397179887898,0.358346140045635,-3.48790303196112,0.000889409248329018,0.0168819944116791,-0.909417354752771
"80346","REEP4",0.96689449406262,4.6544602920789,3.48728712888606,0.000891127514851207,0.0168918437673814,-1.43443527697856
"647979","NORAD",-0.463601217261552,8.57701634804987,-3.48659025176302,0.000893075483118425,0.0169060149250536,-1.45447911251306
"23053","ZSWIM8",-0.433808725409159,5.80447815910562,-3.48393658333607,0.000900530280497139,0.0170242529805661,-1.57147737440017
"9592","IER2",-0.682683440629394,5.42010911962453,-3.48119533321709,0.000908293081803984,0.0171479889599562,-1.56189158494475
"33","ACADL",-1.16938304743994,1.87883625981496,-3.47799921412205,0.00091742414944473,0.0172758011034993,-1.11754445652379
"619279","ZNF704",0.916365392571368,5.70602903819965,3.47796571109319,0.000917520324551062,0.0172758011034993,-1.58654941348119
"4598","MVK",0.544242092180753,3.8903464932203,3.47754011094019,0.000918742901627447,0.0172758011034993,-1.43460506282667
"89796","NAV1",1.01369320014683,8.46789871853205,3.47701226402841,0.000920261338789471,0.0172812809273479,-1.47348469886397
"3613","IMPA2",1.29151488765874,1.72545227046397,3.47458138572383,0.000927284925970305,0.0173899878793153,-1.04178514590972
"253558","LCLAT1",0.755291722605813,4.75179165512952,3.47333571557397,0.000930903737147892,0.0174346386090305,-1.53742357654207
"144453","BEST3",-1.21262997404407,1.11515001346877,-3.47160942085442,0.000935940962582497,0.0175057005538007,-1.08151915621045
"90141","EFCAB11",0.74006029157814,1.30669203227695,3.46937753305188,0.000942491795695852,0.0176048467514329,-1.10664776623583
"10459","MAD2L2",0.502480532292025,4.51557186097678,3.46733653538899,0.000948520381211448,0.0176939881443471,-1.48301400273461
"113115","MTFR2",1.79583937634817,0.168270036479717,3.46624946107886,0.000951746225131271,0.0177306796755937,-0.962993463567168
"29119","CTNNA3",1.47441049681023,5.95059026907553,3.4645251680381,0.000956884329266874,0.0178028519067301,-1.61704621413655
"79102","RNF26",0.406551130041838,5.24269242218273,3.46260188455453,0.000962646412635458,0.0178864275403137,-1.60584653853598
"728730","MAP4K3-DT",-0.666097041830521,2.50380513693183,-3.46090598906796,0.00096775452469752,0.0179576478601316,-1.23155648733923
"57103","TIGAR",-0.808380974198497,6.41876386443226,-3.45899440030678,0.000973543114756797,0.0180412910897825,-1.64679417259517
"10052","GJC1",0.551473181671027,6.16595757038641,3.45605812097928,0.00098249858991606,0.0181833247573952,-1.66442526698514
"142","PARP1",0.599761652463275,7.0222387668369,3.45555794398023,0.00098403186106053,0.0181878014844836,-1.64486920225813
"57452","GALNT16",1.08053750581197,4.34290991832296,3.45441074268581,0.000987557127186727,0.0182079817920394,-1.49279309371179
