"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"547",95681,"ENSG00000106477","CEP41"
"548",80817,"ENSG00000164118","CEP44"
"549",80254,"ENSG00000182923","CEP63"
"550",23177,"ENSG00000011523","CEP68"
"551",80321,"ENSG00000114107","CEP70"
"552",55722,"ENSG00000280688","CEP72"
"553",64793,"ENSG00000130695","CEP85"
"554",51148,"ENSG00000167123","CERCAM"
"555",286207,"ENSG00000160401","CFAP157"
"556",55779,"ENSG00000206530","CFAP44"
"557",149465,"ENSG00000243710","CFAP57"
"558",79846,"ENSG00000105792","CFAP69"
"559",389799,"ENSG00000188523","CFAP77"
"560",57587,"ENSG00000164323","CFAP97"
"561",8837,"ENSG00000003402","CFLAR"
"562",1080,"ENSG00000001626","CFTR"
"563",8545,"ENSG00000163320","CGGBP1"
"564",10669,"ENSG00000138028","CGREF1"
"565",51142,"ENSG00000106153","CHCHD2"
"566",131474,"ENSG00000163528","CHCHD4"
"567",84269,"ENSG00000125611","CHCHD5"
"568",84303,"ENSG00000159685","CHCHD6"
"569",9557,"ENSG00000131778","CHD1L"
"570",55349,"ENSG00000016391","CHDH"
"571",1116,"ENSG00000133048","CHI3L1"
"572",1117,"ENSG00000064886","CHI3L2"
"573",101927174,"ENSG00000224318","CHL1-AS2"
"574",1122,"ENSG00000203668","CHML"
"575",23596,"ENSG00000203668","CHML"
"576",25978,"ENSG00000083937","CHMP2B"
"577",51652,"ENSG00000115561","CHMP3"
"578",92421,"ENSG00000164695","CHMP4C"
"579",51510,"ENSG00000086065","CHMP5"
"580",91782,"ENSG00000147457","CHMP7"
"581",1124,"ENSG00000106069","CHN2"
"582",54108,"ENSG00000104472","CHRAC1"
"583",1129,"ENSG00000181072","CHRM2"
"584",9486,"ENSG00000115526","CHST10"
"585",55501,"ENSG00000136213","CHST12"
"586",166012,"ENSG00000180767","CHST13"
"587",9435,"ENSG00000175040","CHST2"
"588",26097,"ENSG00000160679","CHTOP"
"589",9391,"ENSG00000144021","CIAO1"
"590",25792,"ENSG00000148337","CIZ1"
"591",1160,"ENSG00000131730","CKMT2"
"592",100131067,"ENSG00000247572","CKMT2-AS1"
"593",1164,"ENSG00000123975","CKS2"
"594",23155,"ENSG00000121940","CLCC1"
"595",1182,"ENSG00000109572","CLCN3"
"596",1185,"ENSG00000011021","CLCN6"
"597",1187,"ENSG00000186510","CLCNKA"
"598",1188,"ENSG00000184908","CLCNKB"
"599",9076,"ENSG00000163347","CLDN1"
"600",24146,"ENSG00000106404","CLDN15"
"601",137075,"ENSG00000253958","CLDN23"
"602",1364,"ENSG00000189143","CLDN4"
"603",56650,"ENSG00000080822","CLDND1"
